id,created_time,latency,service_time,done,times_forwarded
131,1.6374999999999962,0.04899999999999993,0.049,True,1
133,1.662499999999996,0.03299999999999992,0.033,True,1
132,1.6499999999999961,0.06699999999999995,0.067,True,1
134,1.674999999999996,0.04600000000000004,0.046,True,1
136,1.699999999999996,0.028000000000000025,0.028,True,1
135,1.687499999999996,0.04499999999999993,0.045,True,1
137,1.712499999999996,0.038000000000000034,0.038,True,1
138,1.7249999999999959,0.04699999999999993,0.047,True,1
139,1.7374999999999958,0.050000000000000044,0.05,True,1
140,1.7499999999999958,0.038999999999999924,0.039,True,1
141,1.7624999999999957,0.04400000000000004,0.044,True,1
142,1.7749999999999957,0.038000000000000034,0.038,True,1
143,1.7874999999999956,0.03699999999999992,0.037,True,1
144,1.7999999999999956,0.03400000000000003,0.034,True,1
146,1.8249999999999955,0.02400000000000002,0.024,True,1
145,1.8124999999999956,0.04200000000000004,0.042,True,1
147,1.8374999999999955,0.038999999999999924,0.039,True,1
148,1.8499999999999954,0.026999999999999913,0.027,True,1
149,1.8624999999999954,0.04299999999999993,0.043,True,1
151,1.8874999999999953,0.02200000000000002,0.022,True,1
150,1.8749999999999953,0.04699999999999993,0.047,True,1
152,1.8999999999999952,0.04400000000000004,0.044,True,1
153,1.9124999999999952,0.04299999999999993,0.043,True,1
154,1.9249999999999952,0.04800000000000004,0.048,True,1
155,1.9374999999999951,0.038000000000000034,0.038,True,1
156,1.949999999999995,0.040000000000000036,0.04,True,1
157,1.962499999999995,0.05600000000000005,0.056,True,1
159,1.987499999999995,0.040000000000000036,0.04,True,1
158,1.974999999999995,0.05499999999999994,0.055,True,1
160,1.999999999999995,0.039999999999999813,0.04,True,1
161,2.012499999999995,0.04499999999999993,0.045,True,1
162,2.024999999999995,0.039000000000000146,0.039,True,1
163,2.037499999999995,0.040000000000000036,0.04,True,1
164,2.0499999999999954,0.03299999999999992,0.033,True,1
165,2.0624999999999956,0.03799999999999981,0.038,True,1
167,2.087499999999996,0.02400000000000002,0.024,True,1
166,2.0749999999999957,0.04599999999999982,0.046,True,1
169,2.1124999999999963,0.04499999999999993,0.045,True,1
168,2.099999999999996,0.06499999999999995,0.065,True,1
171,2.1374999999999966,0.03600000000000003,0.036,True,1
172,2.149999999999997,0.028000000000000025,0.028,True,1
170,2.1249999999999964,0.06199999999999983,0.062,True,1
174,2.174999999999997,0.02499999999999991,0.025,True,1
173,2.162499999999997,0.03799999999999981,0.038,True,1
175,2.1874999999999973,0.04499999999999993,0.045,True,1
176,2.1999999999999975,0.040000000000000036,0.04,True,1
177,2.2124999999999977,0.03699999999999992,0.037,True,1
178,2.224999999999998,0.027000000000000135,0.027,True,1
180,2.2499999999999982,0.03799999999999981,0.038,True,1
179,2.237499999999998,0.05500000000000016,0.055,True,1
182,2.2749999999999986,0.028000000000000025,0.028,True,1
181,2.2624999999999984,0.05500000000000016,0.055,True,1
183,2.2874999999999988,0.03299999999999992,0.033,True,1
184,2.299999999999999,0.027000000000000135,0.027,True,1
185,2.312499999999999,0.02499999999999991,0.025,True,1
186,2.3249999999999993,0.04700000000000015,0.047,True,1
187,2.3374999999999995,0.04599999999999982,0.046,True,1
188,2.3499999999999996,0.041999999999999815,0.042,True,1
189,2.3625,0.05900000000000016,0.059,True,1
190,2.375,0.06000000000000005,0.06,True,1
192,2.4000000000000004,0.040000000000000036,0.04,True,1
191,2.3875,0.05600000000000005,0.056,True,1
193,2.4125000000000005,0.04999999999999982,0.05,True,1
195,2.437500000000001,0.03500000000000014,0.035,True,1
197,2.4625000000000012,0.029999999999999805,0.03,True,1
196,2.450000000000001,0.04300000000000015,0.043,True,1
194,2.4250000000000007,0.09699999999999998,0.097,True,1
198,2.4750000000000014,0.04700000000000015,0.047,True,1
199,2.4875000000000016,0.039000000000000146,0.039,True,1
200,2.5000000000000018,0.04599999999999982,0.046,True,1
202,2.525000000000002,0.02300000000000013,0.023,True,1
201,2.512500000000002,0.04800000000000004,0.048,True,1
204,2.5500000000000025,0.02300000000000013,0.023,True,1
203,2.5375000000000023,0.041999999999999815,0.042,True,1
205,2.5625000000000027,0.03600000000000003,0.036,True,1
206,2.575000000000003,0.040999999999999925,0.041,True,1
207,2.587500000000003,0.04300000000000015,0.043,True,1
209,2.6125000000000034,0.03299999999999992,0.033,True,1
208,2.600000000000003,0.04800000000000004,0.048,True,1
210,2.6250000000000036,0.03200000000000003,0.032,True,1
211,2.6375000000000037,0.02400000000000002,0.024,True,1
212,2.650000000000004,0.03299999999999992,0.033,True,1
213,2.662500000000004,0.03699999999999992,0.037,True,1
215,2.6875000000000044,0.03200000000000003,0.032,True,1
217,2.712500000000005,0.021999999999999797,0.022,True,1
218,2.725000000000005,0.027000000000000135,0.027,True,1
214,2.6750000000000043,0.08099999999999996,0.081,True,1
219,2.737500000000005,0.03699999999999992,0.037,True,1
216,2.7000000000000046,0.07600000000000007,0.076,True,1
220,2.7500000000000053,0.03699999999999992,0.037,True,1
221,2.7625000000000055,0.04300000000000015,0.043,True,1
222,2.7750000000000057,0.03299999999999992,0.033,True,1
223,2.787500000000006,0.039000000000000146,0.039,True,1
224,2.800000000000006,0.027000000000000135,0.027,True,1
225,2.812500000000006,0.041999999999999815,0.042,True,1
226,2.8250000000000064,0.04499999999999993,0.045,True,1
227,2.8375000000000066,0.03299999999999992,0.033,True,1
228,2.8500000000000068,0.040999999999999925,0.041,True,1
230,2.875000000000007,0.04499999999999993,0.045,True,1
232,2.9000000000000075,0.028000000000000025,0.028,True,1
229,2.862500000000007,0.06599999999999984,0.066,True,1
231,2.8875000000000073,0.040999999999999925,0.041,True,1
234,2.925000000000008,0.04999999999999982,0.05,True,1
236,2.950000000000008,0.02499999999999991,0.025,True,1
233,2.9125000000000076,0.07399999999999984,0.074,True,1
235,2.937500000000008,0.04899999999999993,0.049,True,1
237,2.9625000000000083,0.03200000000000003,0.032,True,1
238,2.9750000000000085,0.040999999999999925,0.041,True,1
239,2.9875000000000087,0.04300000000000015,0.043,True,1
240,3.000000000000009,0.03699999999999992,0.037,True,1
241,3.012500000000009,0.03200000000000003,0.032,True,1
243,3.0375000000000094,0.028999999999999915,0.029,True,1
242,3.0250000000000092,0.04499999999999993,0.045,True,1
244,3.0500000000000096,0.03100000000000014,0.031,True,1
245,3.0625000000000098,0.03100000000000014,0.031,True,1
246,3.07500000000001,0.04599999999999982,0.046,True,1
247,3.08750000000001,0.04999999999999982,0.05,True,1
248,3.1000000000000103,0.03799999999999981,0.038,True,1
250,3.1250000000000107,0.04400000000000004,0.044,True,1
251,3.137500000000011,0.03200000000000003,0.032,True,1
249,3.1125000000000105,0.06800000000000006,0.068,True,1
252,3.150000000000011,0.03100000000000014,0.031,True,1
253,3.162500000000011,0.03799999999999981,0.038,True,1
254,3.1750000000000114,0.040000000000000036,0.04,True,1
256,3.2000000000000117,0.02400000000000002,0.024,True,1
255,3.1875000000000115,0.039000000000000146,0.039,True,1
257,3.212500000000012,0.03799999999999981,0.038,True,1
258,3.225000000000012,0.0259999999999998,0.026,True,1
260,3.2500000000000124,0.039000000000000146,0.039,True,1
259,3.2375000000000123,0.06599999999999984,0.066,True,1
261,3.2625000000000126,0.04899999999999993,0.049,True,1
262,3.275000000000013,0.04999999999999982,0.05,True,1
263,3.287500000000013,0.040999999999999925,0.041,True,1
264,3.300000000000013,0.03500000000000014,0.035,True,1
265,3.3125000000000133,0.04899999999999993,0.049,True,1
266,3.3250000000000135,0.04300000000000015,0.043,True,1
267,3.3375000000000137,0.040999999999999925,0.041,True,1
269,3.362500000000014,0.027000000000000135,0.027,True,1
268,3.350000000000014,0.04499999999999993,0.045,True,1
270,3.375000000000014,0.04999999999999982,0.05,True,1
271,3.3875000000000144,0.04899999999999993,0.049,True,1
272,3.4000000000000146,0.04400000000000004,0.044,True,1
273,3.4125000000000147,0.04899999999999993,0.049,True,1
274,3.425000000000015,0.03799999999999981,0.038,True,1
275,3.437500000000015,0.029999999999999805,0.03,True,1
276,3.4500000000000153,0.052000000000000046,0.052,True,1
277,3.4625000000000155,0.04599999999999982,0.046,True,1
278,3.4750000000000156,0.03600000000000003,0.036,True,1
279,3.487500000000016,0.03799999999999981,0.038,True,1
280,3.500000000000016,0.03200000000000003,0.032,True,1
281,3.512500000000016,0.03200000000000003,0.032,True,1
283,3.5375000000000165,0.04400000000000004,0.044,True,1
